mode_key,mode,algorithm_key,Methode,seed,NMI,ARI,ACC,BalancedACC,F1Macro,RareACC,UltraRareACC,n_eval,n_rare_cells,n_ultrarare_cells,min_class_support
inductive,Inductif,sccdcg,scCDCG,2,0.6291869472092044,0.4873974588084972,0.5743639921722113,0.4030381497387353,0.3965355238006943,0.6829268292682927,0.09090909090909091,1022.0,123.0,22.0,1.0
inductive,Inductif,sccdcg,scCDCG,3,0.6465949455261882,0.515824103534727,0.5909980430528375,0.4170074129473817,0.4038843571906932,0.6747967479674797,0.09090909090909091,1022.0,123.0,22.0,1.0
inductive,Inductif,sccdcg,scCDCG,4,0.6594258645836505,0.4885873351206257,0.5675146771037182,0.45305864915779553,0.42368492786710943,0.6991869918699187,0.18181818181818182,1022.0,123.0,22.0,1.0
transductive,Transductif,pca_kmeans,PCA+KMeans,0,0.6647414532330382,0.5480570958498618,0.6287899114569359,0.49422838465780533,0.4859193826640195,0.6024844720496895,0.4540540540540541,14908.0,1771.0,185.0,7.0
transductive,Transductif,pca_kmeans,PCA+KMeans,1,0.660044964989689,0.5391011801912879,0.618258653072176,0.4821465438105025,0.4789232509320457,0.5883681535855448,0.44324324324324327,14908.0,1771.0,185.0,7.0
transductive,Transductif,pca_kmeans,PCA+KMeans,2,0.6651671581439861,0.5483168237180182,0.6291923799302388,0.4943077615499205,0.48579909026760904,0.6019198193111237,0.4540540540540541,14908.0,1771.0,185.0,7.0
transductive,Transductif,pca_kmeans,PCA+KMeans,3,0.6647754567558122,0.5481463213232608,0.6281862087469815,0.49305619621617053,0.4849601213110345,0.5951439864483343,0.4540540540540541,14908.0,1771.0,185.0,7.0
transductive,Transductif,pca_kmeans,PCA+KMeans,4,0.6647068622652585,0.5480387716739857,0.6284545210625168,0.4941413084475267,0.4862729645502929,0.6002258610954263,0.4540540540540541,14908.0,1771.0,185.0,7.0
transductive,Transductif,pca_leiden,PCA+Leiden,0,0.6650034407300133,0.4774074378618455,0.55688221089348,0.4547882470887103,0.4440030252843138,0.5957086391869001,0.4756756756756757,14908.0,1771.0,185.0,7.0
transductive,Transductif,pca_leiden,PCA+Leiden,1,0.6649980965861468,0.4772128661846048,0.5564797424201771,0.45456851646931523,0.4437484423084265,0.5957086391869001,0.4756756756756757,14908.0,1771.0,185.0,7.0
transductive,Transductif,pca_leiden,PCA+Leiden,2,0.6648317519404757,0.47708712286521854,0.5563455862624095,0.45450185424679673,0.4436956590599208,0.5957086391869001,0.4756756756756757,14908.0,1771.0,185.0,7.0
transductive,Transductif,pca_leiden,PCA+Leiden,3,0.6649364062715069,0.47725029731837504,0.5565468204990609,0.45458399059657445,0.44381767394029037,0.5957086391869001,0.4756756756756757,14908.0,1771.0,185.0,7.0
