dataset,dataset_key,method,method_display,output_png,status,source,n_cells,embedding,Correct,Error normal,Error rare,Error ultrarare
Paul15 bone marrow,paul15_bone_marrow_raw_counts,Harmony,Harmony,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__harmony.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/harmony/results/labels/per_cell_harmony_res_1.2.csv,2730.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/harmony/results/embeddings/embedding_harmony.npy,1289.0,1086.0,324.0,31.0
Paul15 bone marrow,paul15_bone_marrow_raw_counts,ComBat,ComBat,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__combat.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/combat/results/labels/per_cell_combat_res_1.4.csv,2730.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/combat/results/embeddings/embedding_combat.npy,1278.0,1140.0,281.0,31.0
Paul15 bone marrow,paul15_bone_marrow_raw_counts,Scanorama,Scanorama,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__scanorama.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/scanorama/results/labels/per_cell_scanorama_res_1.2.csv,2730.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/scanorama/results/embeddings/embedding_scanorama.npy,1290.0,1085.0,324.0,31.0
Paul15 bone marrow,paul15_bone_marrow_raw_counts,DESC,DESC,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__desc.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/desc/results/labels/per_cell_desc_res_1.0.csv,2730.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/desc/results/embeddings/embedding_desc_res_1.0.npy,980.0,1351.0,368.0,31.0
Paul15 bone marrow,paul15_bone_marrow_raw_counts,pca_leiden,PCA + Leiden,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__pca_leiden.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/pca_leiden/results/labels/per_cell_pca_leiden_res_0.2.csv,2730.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/baselines/paul15_bone_marrow_raw_counts/pca_leiden/results/embeddings/embedding_pca_leiden.npy,908.0,1420.0,371.0,31.0
Paul15 bone marrow,paul15_bone_marrow_raw_counts,scvi,scVI,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/paul15_bone_marrow_raw_counts/paul15_bone_marrow_raw_counts__scvi.png,regenerated_from_embeddings,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/paul15_bone_marrow_raw_counts/results/labels/per_cell_scvi_res_1.4.csv,2730.0,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scvi_article_baseline_all_datasets_20260421/paul15_bone_marrow_raw_counts/results/embeddings/embedding_scvi.npy,1100.0,1400.0,199.0,31.0
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,scRAW (trial_0017),scRAW,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__scraw_trial0017.png,copied_stage_final_umap,/data2/fbidet/scRAW_EXPERIMENTAL/results/presentation_trial206_nonbaron_20260324__archive_not_needed_for_data_exploration_20260421/root_dirs/scRAW_stable_generalist_trial_0017_default_v_3_hdbscan_scibe_seed42/stage_umaps/Tabula_Muris_liver_filtered_raw_counts/umaps_batch/4_EndTraining.png,,,,,,
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,scRAW (best per dataset),scRAW finetune,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__scraw_finetune.png,regenerated_from_per_cell,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_scibe_rerun_20260402_164112/scraw/best_per_dataset/trial_0018/Tabula_Muris_liver_filtered_raw_counts/seed_60/results/per_cell/per_cell_scraw_run0.csv,2859.0,,2146.0,520.0,193.0,0.0
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,scNAME,scNAME,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__scname.png,copied_existing_scrbenchmark_umap,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/scrbenchmark/Tabula_Muris_liver_filtered_raw_counts/figures/umap_comparison_scname.png,,,,,,
Tabula Muris liver,Tabula_Muris_liver_filtered_raw_counts,scMAE,scMAE,/data2/fbidet/scRAW_EXPERIMENTAL/figures/05_common8_final_umaps_no_scraw_default/per_dataset/Tabula_Muris_liver_filtered_raw_counts/Tabula_Muris_liver_filtered_raw_counts__scmae.png,copied_existing_scrbenchmark_umap,/data2/fbidet/scRAW_EXPERIMENTAL/results/key04_completion_20260330_111233/scrbenchmark/Tabula_Muris_liver_filtered_raw_counts/figures/umap_comparison_sc_mae.png,,,,,,
