family,dataset,method,source_method,metric,value
Méthodes généralistes + Harmony,Tabula Muris liver,scMAE+Harmony,scMAE+Harmony,RareACC,0.1300448430493273
Méthodes généralistes + Harmony,Tabula Muris liver,scMAE+Harmony,scMAE+Harmony,UltraRareACC,
Méthodes généralistes + Harmony,Tabula Muris liver,scNAME+Harmony,scNAME+Harmony,ACC,0.602308499475341
Méthodes généralistes + Harmony,Tabula Muris liver,scNAME+Harmony,scNAME+Harmony,ARI,0.4770633166506851
Méthodes généralistes + Harmony,Tabula Muris liver,scNAME+Harmony,scNAME+Harmony,Batch correction,
Méthodes généralistes + Harmony,Tabula Muris liver,scNAME+Harmony,scNAME+Harmony,RareACC,0.0044843049327354
Méthodes généralistes + Harmony,Tabula Muris liver,scNAME+Harmony,scNAME+Harmony,UltraRareACC,
Méthodes généralistes + Harmony,Tabula Muris liver,scRAW,scRAW (trial_0017),ACC,0.745715285064708
Méthodes généralistes + Harmony,Tabula Muris liver,scRAW,scRAW (trial_0017),ARI,0.6827909308919632
Méthodes généralistes + Harmony,Tabula Muris liver,scRAW,scRAW (trial_0017),Batch correction,
Méthodes généralistes + Harmony,Tabula Muris liver,scRAW,scRAW (trial_0017),RareACC,0.3228699551569506
Méthodes généralistes + Harmony,Tabula Muris liver,scRAW,scRAW (trial_0017),UltraRareACC,
Méthodes généralistes + Harmony,Tabula Muris liver,scVI,scvi,ACC,0.6876530255334032
Méthodes généralistes + Harmony,Tabula Muris liver,scVI,scvi,ARI,0.5185440830144872
Méthodes généralistes + Harmony,Tabula Muris liver,scVI,scvi,Batch correction,
Méthodes généralistes + Harmony,Tabula Muris liver,scVI,scvi,RareACC,0.1300448430493273
Méthodes généralistes + Harmony,Tabula Muris liver,scVI,scvi,UltraRareACC,
Rare Specific + Harmony,BBAG094 Zeisel,CellSIUS+Harmony,CellSIUS+Harmony,ACC,0.5226214238190287
Rare Specific + Harmony,BBAG094 Zeisel,CellSIUS+Harmony,CellSIUS+Harmony,ARI,0.4403368436097381
Rare Specific + Harmony,BBAG094 Zeisel,CellSIUS+Harmony,CellSIUS+Harmony,Batch correction,0.2704942051051702
Rare Specific + Harmony,BBAG094 Zeisel,CellSIUS+Harmony,CellSIUS+Harmony,RareACC,0.4540540540540541
Rare Specific + Harmony,BBAG094 Zeisel,CellSIUS+Harmony,CellSIUS+Harmony,UltraRareACC,0.2962962962962963
Rare Specific + Harmony,BBAG094 Zeisel,DeepScena+Harmony,DeepScena+Harmony,ACC,0.3629407850964737
Rare Specific + Harmony,BBAG094 Zeisel,DeepScena+Harmony,DeepScena+Harmony,ARI,0.1169464487134897
Rare Specific + Harmony,BBAG094 Zeisel,DeepScena+Harmony,DeepScena+Harmony,Batch correction,0.3294525908181873
Rare Specific + Harmony,BBAG094 Zeisel,DeepScena+Harmony,DeepScena+Harmony,RareACC,0.3243243243243243
Rare Specific + Harmony,BBAG094 Zeisel,DeepScena+Harmony,DeepScena+Harmony,UltraRareACC,0.3703703703703703
Rare Specific + Harmony,BBAG094 Zeisel,GiniClust+Harmony,GiniClust+Harmony,ACC,0.2967398536260812
Rare Specific + Harmony,BBAG094 Zeisel,GiniClust+Harmony,GiniClust+Harmony,ARI,0.0356671566103591
Rare Specific + Harmony,BBAG094 Zeisel,GiniClust+Harmony,GiniClust+Harmony,Batch correction,0.2704940792731423
Rare Specific + Harmony,BBAG094 Zeisel,GiniClust+Harmony,GiniClust+Harmony,RareACC,0.1243243243243243
Rare Specific + Harmony,BBAG094 Zeisel,GiniClust+Harmony,GiniClust+Harmony,UltraRareACC,0.037037037037037
Rare Specific + Harmony,BBAG094 Zeisel,scAIDE+Harmony,scAIDE+Harmony,ACC,0.6254158349966733
Rare Specific + Harmony,BBAG094 Zeisel,scAIDE+Harmony,scAIDE+Harmony,ARI,0.393915387327191
Rare Specific + Harmony,BBAG094 Zeisel,scAIDE+Harmony,scAIDE+Harmony,Batch correction,0.3121789146382062
Rare Specific + Harmony,BBAG094 Zeisel,scAIDE+Harmony,scAIDE+Harmony,RareACC,0.6486486486486487
Rare Specific + Harmony,BBAG094 Zeisel,scAIDE+Harmony,scAIDE+Harmony,UltraRareACC,0.5185185185185185
Rare Specific + Harmony,BBAG094 Zeisel,scCAD+Harmony,scCAD+Harmony,ACC,0.3426480372588157
Rare Specific + Harmony,BBAG094 Zeisel,scCAD+Harmony,scCAD+Harmony,ARI,0.3575497552887321
Rare Specific + Harmony,BBAG094 Zeisel,scCAD+Harmony,scCAD+Harmony,Batch correction,0.2704942051051702
Rare Specific + Harmony,BBAG094 Zeisel,scCAD+Harmony,scCAD+Harmony,RareACC,0.2810810810810811
Rare Specific + Harmony,BBAG094 Zeisel,scCAD+Harmony,scCAD+Harmony,UltraRareACC,0.5925925925925926
Rare Specific + Harmony,BBAG094 Zeisel,scRAW,scRAW (trial_0017),ACC,0.6407185628742516
Rare Specific + Harmony,BBAG094 Zeisel,scRAW,scRAW (trial_0017),ARI,0.4301883295024661
Rare Specific + Harmony,BBAG094 Zeisel,scRAW,scRAW (trial_0017),Batch correction,0.4000360971162749
Rare Specific + Harmony,BBAG094 Zeisel,scRAW,scRAW (trial_0017),RareACC,0.6108108108108108
Rare Specific + Harmony,BBAG094 Zeisel,scRAW,scRAW (trial_0017),UltraRareACC,0.5555555555555556
Rare Specific + Harmony,BBAG094 spleen,CellSIUS+Harmony,CellSIUS+Harmony,ACC,0.7630862646566164
Rare Specific + Harmony,BBAG094 spleen,CellSIUS+Harmony,CellSIUS+Harmony,ARI,0.5578351094230187
Rare Specific + Harmony,BBAG094 spleen,CellSIUS+Harmony,CellSIUS+Harmony,Batch correction,0.7854376480339428
Rare Specific + Harmony,BBAG094 spleen,CellSIUS+Harmony,CellSIUS+Harmony,RareACC,0.5625
Rare Specific + Harmony,BBAG094 spleen,CellSIUS+Harmony,CellSIUS+Harmony,UltraRareACC,1.0
Rare Specific + Harmony,BBAG094 spleen,DeepScena+Harmony,DeepScena+Harmony,ACC,0.6789154103852596
Rare Specific + Harmony,BBAG094 spleen,DeepScena+Harmony,DeepScena+Harmony,ARI,0.4865292226243417
Rare Specific + Harmony,BBAG094 spleen,DeepScena+Harmony,DeepScena+Harmony,Batch correction,0.8221093304244795
Rare Specific + Harmony,BBAG094 spleen,DeepScena+Harmony,DeepScena+Harmony,RareACC,0.9198369565217392
Rare Specific + Harmony,BBAG094 spleen,DeepScena+Harmony,DeepScena+Harmony,UltraRareACC,0.2857142857142857
Rare Specific + Harmony,BBAG094 spleen,GiniClust+Harmony,GiniClust+Harmony,ACC,0.6734715242881072
Rare Specific + Harmony,BBAG094 spleen,GiniClust+Harmony,GiniClust+Harmony,ARI,0.1407501351877176
Rare Specific + Harmony,BBAG094 spleen,GiniClust+Harmony,GiniClust+Harmony,Batch correction,0.7904961890868473
Rare Specific + Harmony,BBAG094 spleen,GiniClust+Harmony,GiniClust+Harmony,RareACC,0.0788043478260869
Rare Specific + Harmony,BBAG094 spleen,GiniClust+Harmony,GiniClust+Harmony,UltraRareACC,0.0238095238095238
Rare Specific + Harmony,BBAG094 spleen,scAIDE+Harmony,scAIDE+Harmony,ACC,0.9590661641541038
Rare Specific + Harmony,BBAG094 spleen,scAIDE+Harmony,scAIDE+Harmony,ARI,0.931266198427431
Rare Specific + Harmony,BBAG094 spleen,scAIDE+Harmony,scAIDE+Harmony,Batch correction,0.7559005511238275
Rare Specific + Harmony,BBAG094 spleen,scAIDE+Harmony,scAIDE+Harmony,RareACC,0.7336956521739131
Rare Specific + Harmony,BBAG094 spleen,scAIDE+Harmony,scAIDE+Harmony,UltraRareACC,0.0
Rare Specific + Harmony,BBAG094 spleen,scCAD+Harmony,scCAD+Harmony,ACC,0.5570561139028476
Rare Specific + Harmony,BBAG094 spleen,scCAD+Harmony,scCAD+Harmony,ARI,0.4160899891303404
Rare Specific + Harmony,BBAG094 spleen,scCAD+Harmony,scCAD+Harmony,Batch correction,0.7829026829240806
Rare Specific + Harmony,BBAG094 spleen,scCAD+Harmony,scCAD+Harmony,RareACC,0.264945652173913
Rare Specific + Harmony,BBAG094 spleen,scCAD+Harmony,scCAD+Harmony,UltraRareACC,1.0
