family,dataset,method,source_method,metric,value
Correction batch,Paul15 bone marrow,DESC,DESC,RareACC,0.130718954248366
Correction batch,Paul15 bone marrow,DESC,DESC,UltraRareACC,0.0
Correction batch,Paul15 bone marrow,Harmony,Harmony,ACC,0.4721611721611721
Correction batch,Paul15 bone marrow,Harmony,Harmony,ARI,0.3121015375122115
Correction batch,Paul15 bone marrow,Harmony,Harmony,Batch correction,
Correction batch,Paul15 bone marrow,Harmony,Harmony,RareACC,0.2265795206971677
Correction batch,Paul15 bone marrow,Harmony,Harmony,UltraRareACC,0.0
Correction batch,Paul15 bone marrow,Scanorama,Scanorama,ACC,0.4725274725274725
Correction batch,Paul15 bone marrow,Scanorama,Scanorama,ARI,0.3114619501326496
Correction batch,Paul15 bone marrow,Scanorama,Scanorama,Batch correction,
Correction batch,Paul15 bone marrow,Scanorama,Scanorama,RareACC,0.2265795206971677
Correction batch,Paul15 bone marrow,Scanorama,Scanorama,UltraRareACC,0.0
Correction batch,Paul15 bone marrow,scRAW,scRAW (trial_0017),ACC,0.4161172161172161
Correction batch,Paul15 bone marrow,scRAW,scRAW (trial_0017),ARI,0.2832245907007426
Correction batch,Paul15 bone marrow,scRAW,scRAW (trial_0017),Batch correction,
Correction batch,Paul15 bone marrow,scRAW,scRAW (trial_0017),RareACC,0.1263616557734204
Correction batch,Paul15 bone marrow,scRAW,scRAW (trial_0017),UltraRareACC,0.0
Correction batch,Paul15 bone marrow,scVI,scvi,ACC,0.4029304029304029
Correction batch,Paul15 bone marrow,scVI,scvi,ARI,0.2831814817193258
Correction batch,Paul15 bone marrow,scVI,scvi,Batch correction,
Correction batch,Paul15 bone marrow,scVI,scvi,RareACC,0.4989106753812636
Correction batch,Paul15 bone marrow,scVI,scvi,UltraRareACC,0.0
Correction batch,Tabula Muris liver,ComBat,ComBat,ACC,0.7191325638335082
Correction batch,Tabula Muris liver,ComBat,ComBat,ARI,0.5543951034735616
Correction batch,Tabula Muris liver,ComBat,ComBat,Batch correction,
Correction batch,Tabula Muris liver,ComBat,ComBat,RareACC,0.1345291479820627
Correction batch,Tabula Muris liver,ComBat,ComBat,UltraRareACC,
Correction batch,Tabula Muris liver,DESC,DESC,ACC,0.757607555089192
Correction batch,Tabula Muris liver,DESC,DESC,ARI,0.700039269062976
Correction batch,Tabula Muris liver,DESC,DESC,Batch correction,
Correction batch,Tabula Muris liver,DESC,DESC,RareACC,0.0
Correction batch,Tabula Muris liver,DESC,DESC,UltraRareACC,
Correction batch,Tabula Muris liver,Harmony,Harmony,ACC,0.7093389296956978
Correction batch,Tabula Muris liver,Harmony,Harmony,ARI,0.5348378026118584
Correction batch,Tabula Muris liver,Harmony,Harmony,Batch correction,
