family,dataset,method,source_method,ARI,ACC,BalancedACC,RareACC,BalancedRareACC,UltraRareACC,Batch correction
Méthodes généralistes,Macaque retina bipolar,scNAME,scNAME,0.5560008671856864,0.6006864233383935,0.5568777370473196,0.6514026402640264,0.4897350896901163,0.0068027210884353,0.3658574137446598
Méthodes généralistes,Paul15 bone marrow,scNAME,scNAME,0.3592682758043509,0.4919413919413919,0.4849947148448927,0.4248366013071895,0.4503378485049415,0.032258064516129,
Méthodes généralistes,Tabula Muris liver,scNAME,scNAME,0.5891148190905894,0.7061909758656874,0.5269390136446822,0.2690582959641255,0.1910416666666667,,
Méthodes généralistes,BBAG094 Zeisel,scVI,scvi,0.5133594314543674,0.7162341982701265,0.6478258705197553,0.6270270270270271,0.4648940345368917,0.5555555555555556,0.4423447401311677
Méthodes généralistes,BBAG094 spleen,scVI,scvi,0.5720050774011771,0.7958542713567839,0.9125143151551725,0.9334239130434784,0.9618753123438282,1.0,0.8365897766791757
Méthodes généralistes,Baron human pancreas,scVI,scvi,0.6211343823250206,0.7116349632395845,0.6271309826707803,0.9177449168207024,0.5420885951420742,0.4661016949152542,0.6295033373683816
Méthodes généralistes,Human testis GSE112013,scVI,scvi,0.5938167523297926,0.725115562403698,0.747900678920652,0.9146722164412072,0.7069520970613951,0.0,0.7754604613797713
Méthodes généralistes,Kang PBMC,scVI,scvi,0.8047318184810032,0.8142903645833334,0.5239273572022959,0.1576506955177743,0.127400947459087,0.0372093023255813,0.6617871605130773
Méthodes généralistes,Macaque retina bipolar,scVI,scvi,0.9654759305347524,0.973467097881328,0.8909606003488132,0.9179042904290428,0.732801385865171,0.0,0.6828404179136567
Méthodes généralistes,Paul15 bone marrow,scVI,scvi,0.2831814817193258,0.4029304029304029,0.440183370089189,0.4989106753812636,0.4542713920404891,0.0,
Méthodes généralistes,Tabula Muris liver,scVI,scvi,0.5185440830144872,0.6876530255334032,0.5555620878652687,0.1300448430493273,0.1933333333333333,,
Correction batch,BBAG094 Zeisel,scRAW,scRAW (trial_0017),0.4301883295024661,0.6407185628742516,0.5695202861675058,0.6108108108108108,0.3942307692307692,0.5555555555555556,0.4000360971162749
Correction batch,BBAG094 spleen,scRAW,scRAW (trial_0017),0.8700744463231944,0.8291457286432161,0.7309318547414984,0.5285326086956522,0.7420385045572452,0.9761904761904762,0.7909291345199329
Correction batch,Baron human pancreas,scRAW,scRAW (trial_0017),0.9158965181979905,0.9337145524565292,0.8702221194567779,0.8955637707948244,0.837473323530332,0.8135593220338984,0.5749552605057935
Correction batch,Human testis GSE112013,scRAW,scRAW (trial_0017),0.6107002323051303,0.7178736517719568,0.7963247792238903,0.9667013527575442,0.89321124021709,0.6428571428571429,0.7303536766041685
Correction batch,Kang PBMC,scRAW,scRAW (trial_0017),0.5459843343891061,0.7057650028499308,0.5641141790530496,0.678125,0.7142094017094017,0.8173076923076923,0.6843171205513716
Correction batch,Macaque retina bipolar,scRAW,scRAW (trial_0017),0.9244654129213528,0.9366708468087916,0.914858085822702,0.957920792079208,0.9037712136460482,0.6802721088435374,0.6374791031394675
Correction batch,Paul15 bone marrow,scRAW,scRAW (trial_0017),0.2832245907007426,0.4161172161172161,0.3697830604541274,0.1263616557734204,0.2113500597371565,0.0,
Correction batch,Tabula Muris liver,scRAW,scRAW (trial_0017),0.6827909308919632,0.745715285064708,0.5921954950000582,0.3228699551569506,0.4,,
Correction batch,BBAG094 Zeisel,Harmony,Harmony,0.3877432473485119,0.6061210911510313,0.4941708484208739,0.4,0.2947409733124019,0.5555555555555556,0.2541259979715826
Correction batch,BBAG094 spleen,Harmony,Harmony,0.5179008566834543,0.6870812395309883,0.8313097042299045,0.9904891304347826,0.9877531472359058,0.9761904761904762,0.8111773863951631
Correction batch,Baron human pancreas,Harmony,Harmony,0.8506457118079013,0.8913525498891353,0.7545993782092808,0.8114602587800369,0.6640864066022861,0.788135593220339,0.7365166477963205
Correction batch,Human testis GSE112013,Harmony,Harmony,0.6523338776655068,0.7303543913713405,0.8132452063547618,0.9063475546305932,0.9129847638506812,0.9285714285714286,0.7969653197013047
Correction batch,Kang PBMC,Harmony,Harmony,0.773630664005735,0.7528483072916666,0.5918663568688751,0.3276661514683153,0.3808785529715762,0.5395348837209303,0.7261262096182571
Correction batch,Macaque retina bipolar,Harmony,Harmony,0.9412624306387202,0.9651178140056762,0.895961544594051,0.9245049504950495,0.7388904574471318,0.0068027210884353,0.6769074050934891
Correction batch,Paul15 bone marrow,Harmony,Harmony,0.3121015375122115,0.4721611721611721,0.4222518877112269,0.2265795206971677,0.2845632159673905,0.0,
Correction batch,Tabula Muris liver,Harmony,Harmony,0.5348378026118584,0.7093389296956978,0.5714676132181757,0.1345291479820627,0.2,,
Correction batch,BBAG094 Zeisel,ComBat,ComBat,0.0,0.3153692614770459,0.1,0.0,0.0,0.0,0.0578811186339024
Correction batch,BBAG094 spleen,ComBat,ComBat,0.5799446467814835,0.7329355108877722,0.8403386751616477,0.9782608695652174,0.9812876299945263,0.9761904761904762,0.7778388996631098
