dataset,algorithm,variant,metric,mean,std,n
bbag094_spleen,scDeepCluster,full_kmeans_triplet,BalancedRareACC,0.43738029794626493,0.11365856977697673,5
bbag094_spleen,scDeepCluster,full_kmeans_triplet,RareACC,0.4616847826086956,0.028049744412841,5
bbag094_spleen,scDeepCluster,full_kmeans_triplet,UltraRareACC,0.2619047619047619,0.3973409349590151,5
bbag094_spleen,scDeepCluster,full_leiden,ARI,0.2372170191091901,0.2017118891553465,5
bbag094_spleen,scDeepCluster,full_leiden,BalancedRareACC,0.5361447252564193,0.11860585994426483,5
bbag094_spleen,scDeepCluster,full_leiden,RareACC,0.7448369565217392,0.128980943194981,5
bbag094_spleen,scDeepCluster,full_leiden,UltraRareACC,0.0523809523809523,0.0760415210603395,5
bbag094_spleen,scDeepCluster,full_leiden_triplet,ARI,0.4023852362424997,0.0457639656554547,5
bbag094_spleen,scDeepCluster,full_leiden_triplet,BalancedRareACC,0.3061781609195402,0.13684688699461367,5
bbag094_spleen,scDeepCluster,full_leiden_triplet,RareACC,0.3497282608695651,0.1406220462827793,5
bbag094_spleen,scDeepCluster,full_leiden_triplet,UltraRareACC,0.4,0.3565073711284722,5
bbag094_spleen,scMAE,baseline,ARI,0.8488434720208253,0.1690881057045912,5
bbag094_spleen,scMAE,baseline,BalancedRareACC,0.6166055067704244,0.19128263375302398,5
bbag094_spleen,scMAE,baseline,RareACC,0.7442934782608696,0.1191181736589391,5
bbag094_spleen,scMAE,baseline,UltraRareACC,0.1904761904761904,0.4259177099999599,5
bbag094_spleen,scMAE,density_only,ARI,0.6946528467666808,0.2076959116444005,5
bbag094_spleen,scMAE,density_only,BalancedRareACC,0.7387544323076557,0.216967219013538,5
bbag094_spleen,scMAE,density_only,RareACC,0.8581521739130435,0.1253561502367312,5
bbag094_spleen,scMAE,density_only,UltraRareACC,0.3904761904761905,0.5349465398088997,5
bbag094_spleen,scMAE,density_only_triplet_kmeans,ARI,0.8340494920777053,0.1925283359039463,5
bbag094_spleen,scMAE,density_only_triplet_kmeans,BalancedRareACC,0.5601911544227887,0.056091605529233125,5
bbag094_spleen,scMAE,density_only_triplet_kmeans,RareACC,0.7426630434782608,0.1054745204698104,5
bbag094_spleen,scMAE,density_only_triplet_kmeans,UltraRareACC,0.0,0.0,5
bbag094_spleen,scMAE,full_kmeans,ARI,0.5385272697598442,0.0100278403533236,5
bbag094_spleen,scMAE,full_kmeans,BalancedRareACC,0.7163674710263915,0.14413701969545642,5
bbag094_spleen,scMAE,full_kmeans,RareACC,0.9255434782608696,0.0238914180873187,5
bbag094_spleen,scMAE,full_kmeans,UltraRareACC,0.1952380952380952,0.4365656527499589,5
