phase,dataset,algorithm,variant,seed,metric,value,source_path
full,bbag094_spleen,scMAE,density_only_triplet_kmeans,46,ARI,0.9236702103207356,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scMAE,density_only_triplet_kmeans,46,RareACC,0.7241847826086957,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,42,ARI,0.3267844185945749,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,42,RareACC,0.4497282608695652,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,43,ARI,0.23590044257163,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,43,RareACC,0.4320652173913043,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,44,ARI,0.410347261804409,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,44,RareACC,0.4864130434782608,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,45,ARI,0.5437994466511501,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
full,bbag094_spleen,scDeepCluster,density_only_triplet_kmeans,45,RareACC,0.5081521739130435,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_default_20260428_104305/02_full_runs/runs/bbag094_spleen/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv
