phase,dataset,algorithm,variant,metric,mean,std,min,max,n
full,bbag094_spleen,scDeepCluster,full_kmeans,Silhouette,0.17357669371844647,0.12626488297581387,0.022522521471538,0.3299468595501195,5
full,bbag094_spleen,scDeepCluster,full_kmeans,runtime,616.3049094676971,20.07748083205123,595.8208944797516,648.9990293979645,5
full,bbag094_spleen,scDeepCluster,full_kmeans_triplet,ACC,0.7823073701842547,0.0903142231126993,0.7018425460636516,0.8908082077051926,5
full,bbag094_spleen,scDeepCluster,full_kmeans_triplet,ARI,0.3703693536760817,0.29508262284968934,0.058498771054929,0.7190132012087356,5
full,bbag094_spleen,scDeepCluster,full_kmeans_triplet,BalancedACC,0.36288523268194495,0.10244492261892045,0.2482630414170987,0.474554414014768,5
full,bbag094_spleen,scDeepCluster,full_kmeans_triplet,F1_Macro,0.36990213986772846,0.10582218855646816,0.2592163694859597,0.4973971027929389,5
full,bbag094_spleen,scDeepCluster,full_kmeans_triplet,NMI,0.33239835377032856,0.21636373309772514,0.116746233604054,0.6133231095721379,5
full,bbag094_spleen,scDeepCluster,full_kmeans_triplet,RareACC,0.16847826086956516,0.090100066128453,0.0978260869565217,0.3002717391304347,5
full,bbag094_spleen,scDeepCluster,full_kmeans_triplet,Silhouette,0.17973248761534438,0.0862281390689196,0.0893067970435276,0.3194684738531166,5
full,bbag094_spleen,scDeepCluster,full_kmeans_triplet,runtime,1001.1712401866913,238.1721710195189,696.231451511383,1293.3723471164703,5
full,bbag094_spleen,scDeepCluster,full_leiden,ACC,0.7457286432160805,0.05815719288890479,0.6592336683417085,0.8113484087102177,5
full,bbag094_spleen,scDeepCluster,full_leiden,ARI,0.31064243820491366,0.18853652726896708,0.0916541572500955,0.5193282820697904,5
full,bbag094_spleen,scDeepCluster,full_leiden,BalancedACC,0.46320501886133136,0.06422036504561726,0.3891130821461183,0.5206023376613256,5
full,bbag094_spleen,scDeepCluster,full_leiden,F1_Macro,0.4303914196223104,0.041982144895351715,0.3683016296369256,0.4695402351703903,5
full,bbag094_spleen,scDeepCluster,full_leiden,NMI,0.3281340506463529,0.11624553716761461,0.2029224392047645,0.4447370689731262,5
full,bbag094_spleen,scDeepCluster,full_leiden,RareACC,0.3532608695652174,0.10139365873263932,0.233695652173913,0.4660326086956521,5
full,bbag094_spleen,scDeepCluster,full_leiden,Silhouette,0.12934039658678603,0.11075405591695685,-0.0346537422486371,0.2484033381716179,5
full,bbag094_spleen,scDeepCluster,full_leiden,runtime,1030.6682475566863,211.0339597801853,658.0727269649506,1178.625382900238,5
full,bbag094_spleen,scDeepCluster,full_leiden_triplet,ACC,0.7010259631490787,0.14760028292660865,0.5425041876046901,0.9014865996649916,5
full,bbag094_spleen,scDeepCluster,full_leiden_triplet,ARI,0.35775209174454303,0.3164883605121594,0.040123713530379,0.7765290958479221,5
full,bbag094_spleen,scDeepCluster,full_leiden_triplet,BalancedACC,0.412917637630701,0.04312841491189036,0.3521868413566609,0.4571245255240518,5
full,bbag094_spleen,scDeepCluster,full_leiden_triplet,F1_Macro,0.4062642219927065,0.04157085055196918,0.3586709766251024,0.4491679872048181,5
full,bbag094_spleen,scDeepCluster,full_leiden_triplet,NMI,0.4170595119499308,0.1983721467202575,0.16033891465592,0.6545143775850394,5
full,bbag094_spleen,scDeepCluster,full_leiden_triplet,RareACC,0.26766304347826086,0.09510384304390766,0.1616847826086956,0.3831521739130434,5
full,bbag094_spleen,scDeepCluster,full_leiden_triplet,Silhouette,0.12984423336286882,0.1264601808960996,0.0108092540308162,0.3031245815989576,5
full,bbag094_spleen,scDeepCluster,full_leiden_triplet,runtime,2235.878632736206,485.4705685059133,1607.9273488521576,2869.9967832565308,5
full,bbag094_spleen,scMAE,baseline,ACC,0.9331030150753769,0.07526913653417928,0.798785594639866,0.9742462311557788,5
full,bbag094_spleen,scMAE,baseline,ARI,0.8433408057885581,0.14479416469593584,0.5854987170336282,0.9178194391806744,5
full,bbag094_spleen,scMAE,baseline,BalancedACC,0.7336609405790273,0.050212517481165904,0.6563925653343555,0.7814506530371058,5
full,bbag094_spleen,scMAE,baseline,F1_Macro,0.7206135054866916,0.06819117552669947,0.6025697282015134,0.7768525879323459,5
full,bbag094_spleen,scMAE,baseline,NMI,0.8022159786642484,0.08595663050505718,0.6520820980715684,0.8632323055697372,5
full,bbag094_spleen,scMAE,baseline,RareACC,0.7864130434782609,0.1132878446763719,0.6480978260869565,0.9089673913043478,5
full,bbag094_spleen,scMAE,baseline,Silhouette,0.3244341105222702,0.044106384862750654,0.2458634227514267,0.3504123091697693,5
full,bbag094_spleen,scMAE,baseline,runtime,33.34747629165649,1.2302595721001224,32.16808795928955,35.185559034347534,5
full,bbag094_spleen,scMAE,density_only,ACC,0.9624581239530988,0.012858912844752672,0.9438860971524288,0.9733040201005024,5
full,bbag094_spleen,scMAE,density_only,ARI,0.9116533795591548,0.012112221579832804,0.8955249758947026,0.9235755418404136,5
full,bbag094_spleen,scMAE,density_only,BalancedACC,0.7649514749703844,0.035909282535210425,0.7008403373211927,0.7842675467603752,5
full,bbag094_spleen,scMAE,density_only,F1_Macro,0.7494840900610503,0.02872893854077663,0.7008306321885973,0.7733876078120376,5
full,bbag094_spleen,scMAE,density_only,NMI,0.8375018895660782,0.02275328923206257,0.8063753647715121,0.8606548003964183,5
full,bbag094_spleen,scMAE,density_only,RareACC,0.8116847826086955,0.13542249817796126,0.6589673913043478,0.9225543478260868,5
full,bbag094_spleen,scMAE,density_only,Silhouette,0.3769035696983337,0.004163680366739821,0.3718328177928924,0.3832544684410095,5
full,bbag094_spleen,scMAE,density_only,runtime,75.14723162651062,3.7998016409683935,68.53025460243225,78.01897931098938,5
full,bbag094_spleen,scMAE,density_only_triplet_kmeans,ACC,0.9524288107202681,0.014954681854799529,0.9286013400335008,0.9698492462311558,5
full,bbag094_spleen,scMAE,density_only_triplet_kmeans,ARI,0.8973977524198095,0.018734296722243665,0.8703984456626433,0.9130376678648312,5
full,bbag094_spleen,scMAE,density_only_triplet_kmeans,BalancedACC,0.7390252745486358,0.0374968269328908,0.7036671302012106,0.7808535219507609,5
full,bbag094_spleen,scMAE,density_only_triplet_kmeans,F1_Macro,0.7104842067089429,0.07489186741408915,0.5841176672485354,0.7666367549193724,5
full,bbag094_spleen,scMAE,density_only_triplet_kmeans,NMI,0.8220338999261474,0.03347665832349623,0.7628188763480894,0.8432668284696343,5
full,bbag094_spleen,scMAE,density_only_triplet_kmeans,RareACC,0.7263586956521739,0.18491643172045807,0.4714673913043478,0.9103260869565216,5
full,bbag094_spleen,scMAE,density_only_triplet_kmeans,Silhouette,0.9190492987632751,0.006703110898399664,0.9082849621772766,0.9257021546363832,5
full,bbag094_spleen,scMAE,density_only_triplet_kmeans,runtime,218.34318408966064,2.961202504054046,214.90181374549863,220.92644262313843,5
full,bbag094_spleen,scMAE,full_kmeans,ACC,0.9472361809045224,0.019398205818871448,0.9270309882747068,0.970791457286432,5
full,bbag094_spleen,scMAE,full_kmeans,ARI,0.9003021528683737,0.019988796894093414,0.8724212690087059,0.9262835324100948,5
full,bbag094_spleen,scMAE,full_kmeans,BalancedACC,0.7842441377907885,0.11243236197914366,0.7222591527472266,0.9833287613253956,5
full,bbag094_spleen,scMAE,full_kmeans,F1_Macro,0.7367760636278202,0.13644017478328915,0.5816550766122647,0.9568483688034924,5
full,bbag094_spleen,scMAE,full_kmeans,NMI,0.8136306881856216,0.036436919790242654,0.7688953835741041,0.8511093532038227,5
full,bbag094_spleen,scMAE,full_kmeans,RareACC,0.7978260869565218,0.20364441188262647,0.4714673913043478,0.9782608695652174,5
full,bbag094_spleen,scMAE,full_kmeans,Silhouette,0.42795170545578004,0.012030312215603642,0.4068381488323211,0.4370211064815521,5
full,bbag094_spleen,scMAE,full_kmeans,runtime,54.47111806869507,7.430118204973935,46.17194223403931,62.50761771202088,5
full,bbag094_spleen,scMAE,full_kmeans_triplet,ACC,0.9478015075376884,0.01724920197004739,0.9238902847571188,0.9697445561139028,5
full,bbag094_spleen,scMAE,full_kmeans_triplet,ARI,0.9020547934300855,0.01723792265335312,0.8717408204894423,0.9123459491284356,5
full,bbag094_spleen,scMAE,full_kmeans_triplet,BalancedACC,0.7668865088162496,0.07740546723610543,0.7031249725235728,0.8936921493094617,5
full,bbag094_spleen,scMAE,full_kmeans_triplet,F1_Macro,0.7290334709240629,0.02934783749802339,0.6944095462192489,0.7664369275342688,5
full,bbag094_spleen,scMAE,full_kmeans_triplet,NMI,0.81573386924562,0.03885336986015285,0.7474547505025008,0.8428222844251761,5
full,bbag094_spleen,scMAE,full_kmeans_triplet,RareACC,0.7885869565217392,0.1172602365634766,0.6603260869565217,0.9089673913043478,5
full,bbag094_spleen,scMAE,full_kmeans_triplet,Silhouette,0.916183078289032,0.006902458861020428,0.9069357514381408,0.9249271750450134,5
full,bbag094_spleen,scMAE,full_kmeans_triplet,runtime,208.45724897384645,3.023615520340455,203.76526761054996,211.8262202739716,5
full,bbag094_spleen,scMAE,full_leiden,ACC,0.9581867671691793,0.01040379603507979,0.9470268006700168,0.9715242881072028,5
full,bbag094_spleen,scMAE,full_leiden,ARI,0.9050094666523943,0.013495061476640981,0.8898688498563911,0.9227360997995184,5
full,bbag094_spleen,scMAE,full_leiden,BalancedACC,0.6925797680735373,0.10011881495654266,0.5852674606396492,0.7828691048746348,5
full,bbag094_spleen,scMAE,full_leiden,F1_Macro,0.6708483502081208,0.1008059681311023,0.5560561013467378,0.7564308435800013,5
full,bbag094_spleen,scMAE,full_leiden,NMI,0.8262004783166006,0.023914355693279946,0.800006893809107,0.8537778516806647,5
full,bbag094_spleen,scMAE,full_leiden,RareACC,0.7578804347826086,0.15608273182940766,0.6046195652173914,0.9225543478260868,5
full,bbag094_spleen,scMAE,full_leiden,Silhouette,0.3936647832393646,0.011300395970431781,0.3782117664813995,0.407897412776947,5
