phase,dataset,algorithm,variant,seed,metric,value,source_type,source_path,preset,weight_component_mode,pseudo_label_method,triplet_enabled,triplet_pseudo_label_method
smoke,paul15_bone_marrow,scDeepCluster,density_only,42,BalancedACC,0.3612095793603914,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,scDeepCluster,density_only,42,RareACC,0.2701525054466231,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,scDeepCluster,density_only,42,Silhouette,0.289361109591533,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,scDeepCluster,density_only,42,runtime,174.91162395477295,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,DESC,density_only,42,NMI,0.537045782434222,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/desc/runs/seed_42/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,DESC,density_only,42,ARI,0.2949109668096266,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/desc/runs/seed_42/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,DESC,density_only,42,ACC,0.3684981684981685,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/desc/runs/seed_42/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,DESC,density_only,42,F1_Macro,0.2089725938396854,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/desc/runs/seed_42/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,DESC,density_only,42,BalancedACC,0.2948795848852283,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/desc/runs/seed_42/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,DESC,density_only,42,RareACC,0.130718954248366,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/desc/runs/seed_42/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,DESC,density_only,42,Silhouette,0.1255462765693664,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/desc/runs/seed_42/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,DESC,density_only,42,runtime,47.34452438354492,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only/desc/runs/seed_42/results/analysis_results.csv,stable_Default,density_only,kmeans,0,kmeans
smoke,paul15_bone_marrow,scMAE,density_only_triplet_kmeans,42,NMI,0.5603046627999444,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,scMAE,density_only_triplet_kmeans,42,ARI,0.2930514503233749,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,scMAE,density_only_triplet_kmeans,42,ACC,0.4326007326007326,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,scMAE,density_only_triplet_kmeans,42,F1_Macro,0.4431819088081252,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,scMAE,density_only_triplet_kmeans,42,BalancedACC,0.4465060382696439,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,scMAE,density_only_triplet_kmeans,42,RareACC,0.3376906318082788,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,scMAE,density_only_triplet_kmeans,42,Silhouette,0.5311167240142822,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
smoke,paul15_bone_marrow,scMAE,density_only_triplet_kmeans,42,runtime,87.07730507850647,new_run,/data2/fbidet/scRAW_EXPERIMENTAL/results/scraw_loss_integration_matrix_stable_Default_20260428_104305/01_smoke_test/runs/paul15_bone_marrow/density_only_triplet_kmeans/scrbenchmark/results/analysis_results.csv,stable_Default,density_only,kmeans,1,kmeans
