phase,dataset,algorithm,variant,seed,metric,variant_value,baseline_value,delta_vs_baseline
full,kang_pbmc,DESC,full_kmeans_triplet,44,BalancedACC,0.4824354513553966,0.4823590448602656,7.64064951310206e-05
full,kang_pbmc,DESC,full_kmeans_triplet,44,RareACC,0.0,0.0,0.0
full,kang_pbmc,DESC,full_kmeans_triplet,44,Silhouette,0.8602028489112854,0.8794465065002441,-0.01924365758895874
full,kang_pbmc,DESC,full_kmeans_triplet,44,runtime,444.8132894039154,395.2382056713104,49.57508373260498
full,kang_pbmc,DESC,full_kmeans_triplet,45,NMI,0.6743703197002582,0.6670480146106545,0.007322305089603631
full,kang_pbmc,DESC,full_kmeans_triplet,45,ARI,0.6724699603528419,0.6300176302711644,0.04245233008167748
full,kang_pbmc,DESC,full_kmeans_triplet,45,ACC,0.6944580078125,0.6676025390625,0.02685546875
full,kang_pbmc,DESC,full_kmeans_triplet,45,F1_Macro,0.4711167684220116,0.4723026907166812,-0.0011859222946695724
full,kang_pbmc,DESC,full_kmeans_triplet,45,BalancedACC,0.5842392822734508,0.5717951056784109,0.012444176595039935
full,kang_pbmc,DESC,full_kmeans_triplet,45,RareACC,0.598145285935085,0.4482225656877898,0.1499227202472952
full,kang_pbmc,DESC,full_kmeans_triplet,45,Silhouette,0.8608569502830505,0.858594536781311,0.002262413501739502
full,kang_pbmc,DESC,full_kmeans_triplet,45,runtime,462.5412337779999,409.2134597301483,53.32777404785156
full,kang_pbmc,DESC,full_kmeans_triplet,46,NMI,0.6959369153976742,0.7148917307029411,-0.01895481530526688
full,kang_pbmc,DESC,full_kmeans_triplet,46,ARI,0.6440065399414555,0.6412045961777794,0.0028019437636761513
full,kang_pbmc,DESC,full_kmeans_triplet,46,ACC,0.6787923177083334,0.6754964192708334,0.0032958984375
full,kang_pbmc,DESC,full_kmeans_triplet,46,F1_Macro,0.5233367309486932,0.508661355766846,0.014675375181847139
full,kang_pbmc,DESC,full_kmeans_triplet,46,BalancedACC,0.6412849456912424,0.6885536481052392,-0.04726870241399683
full,kang_pbmc,DESC,full_kmeans_triplet,46,RareACC,0.7820710973724884,0.8222565687789799,-0.040185471406491535
full,kang_pbmc,DESC,full_kmeans_triplet,46,Silhouette,0.8753949999809265,0.8637326955795288,0.011662304401397705
full,kang_pbmc,DESC,full_kmeans_triplet,46,runtime,433.4223446846008,390.8277020454407,42.5946426391601
full,kang_pbmc,scMAE,full_leiden,42,NMI,0.4947877521221314,0.4605156655494445,0.03427208657268688
full,kang_pbmc,scMAE,full_leiden,42,ARI,0.3821065173676369,0.3468540221756325,0.03525249519200441
full,kang_pbmc,scMAE,full_leiden,42,ACC,0.636185978340526,0.5637163097467633,0.07246966859376269
full,kang_pbmc,scMAE,full_leiden,42,F1_Macro,0.1792131295489731,0.1886998497991534,-0.009486720250180325
full,kang_pbmc,scMAE,full_leiden,42,BalancedACC,0.2494098507805675,0.2542480578501525,-0.004838207069584988
full,kang_pbmc,scMAE,full_leiden,42,RareACC,0.0,0.0015625,-0.0015625
full,kang_pbmc,scMAE,full_leiden,42,Silhouette,0.0964618101716041,0.0306588988751173,0.0658029112964868
full,kang_pbmc,scMAE,full_leiden,42,runtime,3058.6710062026978,1303.0699491500854,1755.6010570526123
full,kang_pbmc,scMAE,full_leiden,43,NMI,0.5493986871778527,0.4474410257886735,0.10195766138917917
full,kang_pbmc,scMAE,full_leiden,43,ARI,0.4900121383129584,0.3386562919681459,0.15135584634481253
full,kang_pbmc,scMAE,full_leiden,43,ACC,0.6481964009445484,0.5580571614689358,0.09013923947561264
full,kang_pbmc,scMAE,full_leiden,43,F1_Macro,0.2909512923672445,0.1866839242073424,0.10426736815990209
full,kang_pbmc,scMAE,full_leiden,43,BalancedACC,0.3599112834119513,0.2516868256066313,0.10822445780531997
full,kang_pbmc,scMAE,full_leiden,43,RareACC,0.0,0.0,0.0
full,kang_pbmc,scMAE,full_leiden,43,Silhouette,0.0829571634531021,0.014754943549633,0.0682022199034691
full,kang_pbmc,scMAE,full_leiden,43,runtime,4614.918182849884,1284.5529298782349,3330.365252971649
full,kang_pbmc,scMAE,full_leiden,44,NMI,0.4864525893139452,0.4492974184928054,0.03715517082113978
full,kang_pbmc,scMAE,full_leiden,44,ARI,0.3777236107030131,0.3447925461693467,0.0329310645336664
full,kang_pbmc,scMAE,full_leiden,44,ACC,0.63215536194121,0.561843498086475,0.07031186385473498
full,kang_pbmc,scMAE,full_leiden,44,F1_Macro,0.1788329254142418,0.1872931400417137,-0.008460214627471901
full,kang_pbmc,scMAE,full_leiden,44,BalancedACC,0.2481549720537752,0.253486148982603,-0.005331176928827813
full,kang_pbmc,scMAE,full_leiden,44,RareACC,0.0,0.0,0.0
full,kang_pbmc,scMAE,full_leiden,44,Silhouette,0.0945434123277664,-0.0073382416740059,0.1018816540017723
full,kang_pbmc,scMAE,full_leiden,44,runtime,3706.256186008453,1296.4697127342224,2409.7864732742305
full,kang_pbmc,scMAE,full_leiden,45,NMI,0.488915717416914,0.5513003001959293,-0.062384582779015374
full,kang_pbmc,scMAE,full_leiden,45,ARI,0.3786638015898583,0.4910759447867198,-0.11241214319686149
full,kang_pbmc,scMAE,full_leiden,45,ACC,0.6346795863529029,0.64734142170833,-0.012661835355427087
full,kang_pbmc,scMAE,full_leiden,45,F1_Macro,0.2009551555612609,0.2896636746711196,-0.08870851910985869
full,kang_pbmc,scMAE,full_leiden,45,BalancedACC,0.2486875719795851,0.3597229762800054,-0.11103540430042028
full,kang_pbmc,scMAE,full_leiden,45,RareACC,0.0,0.0,0.0
full,kang_pbmc,scMAE,full_leiden,45,Silhouette,0.1001755222678184,0.0444171279668808,0.0557583943009376
full,kang_pbmc,scMAE,full_leiden,45,runtime,3754.459421396256,1338.3267843723297,2416.1326370239262
full,kang_pbmc,scMAE,full_leiden,46,NMI,0.4404714601719486,0.5567162671476598,-0.11624480697571116
full,kang_pbmc,scMAE,full_leiden,46,ARI,0.3334146956171083,0.4922871261583677,-0.15887243054125944
full,kang_pbmc,scMAE,full_leiden,46,ACC,0.5601742529110008,0.6481556876475857,-0.08798143473658493
full,kang_pbmc,scMAE,full_leiden,46,F1_Macro,0.1875178716935486,0.3252873533869477,-0.1377694816933991
full,kang_pbmc,scMAE,full_leiden,46,BalancedACC,0.2522654056825859,0.3575562109240343,-0.1052908052414484
full,kang_pbmc,scMAE,full_leiden,46,RareACC,0.0,0.0,0.0
full,kang_pbmc,scMAE,full_leiden,46,Silhouette,0.0242779944092035,0.0134785491973161,0.010799445211887401
full,kang_pbmc,scMAE,full_leiden,46,runtime,4570.767823934555,1248.9198279380798,3321.847995996475
full,kang_pbmc,scDeepCluster,full_leiden,42,NMI,0.6499939232795309,0.6272337874943942,0.022760135785136693
full,kang_pbmc,scDeepCluster,full_leiden,42,ARI,0.4994986416159702,0.557782456970423,-0.05828381535445276
full,kang_pbmc,scDeepCluster,full_leiden,42,ACC,0.5517873137366663,0.6332546209592053,-0.08146730722253892
full,kang_pbmc,scDeepCluster,full_leiden,42,F1_Macro,0.4754165916901117,0.4360253082368556,0.0393912834532561
full,kang_pbmc,scDeepCluster,full_leiden,42,BalancedACC,0.5121411275155083,0.4782131550089847,0.03392797250652363
full,kang_pbmc,scDeepCluster,full_leiden,42,RareACC,0.215625,0.078125,0.1375
full,kang_pbmc,scDeepCluster,full_leiden,42,Silhouette,0.4769836201154601,0.4076011036491289,0.0693825164663312
full,kang_pbmc,scDeepCluster,full_leiden,42,runtime,1701.6294713020325,1375.225285768509,326.40418553352356
full,kang_pbmc,scDeepCluster,full_leiden,43,NMI,0.6490587278127968,0.671158002082937,-0.022099274270140135
full,kang_pbmc,scDeepCluster,full_leiden,43,ARI,0.4946513050947689,0.7011815087178385,-0.20653020362306956
full,kang_pbmc,scDeepCluster,full_leiden,43,ACC,0.5464131585375783,0.7203403631626089,-0.17392720462503053
full,kang_pbmc,scDeepCluster,full_leiden,43,F1_Macro,0.4693027434094864,0.491943271055422,-0.022640527645935604
full,kang_pbmc,scDeepCluster,full_leiden,43,BalancedACC,0.5010289629206723,0.5434878119708708,-0.04245884905019848
full,kang_pbmc,scDeepCluster,full_leiden,43,RareACC,0.1890625,0.084375,0.10468749999999999
