dataset,dataset_key,method,method_display,ARI,BalancedACC,RareACC,Batch correction,result_row_id,trial_id,selected_final_method,source_type,prediction_status,has_prediction_table
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,scRAW (default),scRAW (default),0.5990302178092181,0.6516592895536547,0.5936254980079682,0.8269017700043285,TR206R_0186,,hdbscan_final,single_seed_seed60_stage_umaps_rerun,ok,True
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,scRAW (trial_0017),scRAW (trial 0017),0.8785258855428295,0.6905881694125846,0.5776892430278885,0.8904693085602194,TR206R_0201,trial_0017,leiden_target14_final,single_seed_generalist_trial_0017,missing,False
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,scNAME,scNAME,0.8906561899034002,0.7879363742435024,0.9601593625498008,0.8085989048736876,TR206R_0194,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,scMAE,scMAE,0.8662483366287262,0.7363905166540954,0.6334661354581673,0.9129456752530506,TR206R_0195,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,Harmony,Harmony,0.6200900825655864,0.7173812361024959,0.8764940239043825,0.8475765036759633,TR206R_0196,,,baseline_completion_key04_completion_20260330_111233,ok,True
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,ComBat,ComBat,0.6200900825655864,0.7173812361024959,0.8764940239043825,0.8475765036759633,TR206R_0197,,,baseline_completion_key04_completion_20260330_111233,ok,True
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,Scanorama,Scanorama,0.6200900825655864,0.7173812361024959,0.8764940239043825,0.8475765036759633,TR206R_0198,,,baseline_completion_key04_completion_20260330_111233,ok,True
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,DESC,DESC,0.9389221468043945,0.6165587068628374,0.8326693227091634,0.7731817060852143,TR206R_0199,,,baseline_completion_key04_completion_20260330_111233,ok,True
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,pca_leiden,PCA+Leiden,0.6200900825655864,0.7173812361024959,0.8764940239043825,0.8475765036759633,TR206R_0202,pca_leiden,,,missing,False
SCIB Human Pancreas 2,Human_Pancreas_2_raw_counts,scvi,scVI,0.4778854742985124,0.614096921033001,0.8565737051792829,0.8976241182703367,TR206R_0249,,,scvi_article_baseline,ok,True
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,scRAW (default),scRAW (default),0.8436767420511789,0.5073425608974662,0.5697674418604651,0.8239541785376309,TR206R_0203,,hdbscan_final,single_seed_seed60_stage_umaps_rerun,ok,True
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,scRAW (trial_0017),scRAW (trial 0017),0.8207033800932935,0.5295991526305686,0.7209302325581395,0.8025940805156815,TR206R_0218,trial_0017,leiden_target13_final,single_seed_generalist_trial_0017,missing,False
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,scNAME,scNAME,0.4312771627546412,0.4881319163289579,0.7441860465116279,0.7117082318676867,TR206R_0211,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,scMAE,scMAE,0.5599208751444167,0.6143665277450234,0.686046511627907,0.9124350320728288,TR206R_0212,,,scrbenchmark_completion_key04_completion_20260330_111233,ok,True
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,Harmony,Harmony,0.4628905737566059,0.5261135999690744,0.7558139534883721,0.8393828923960556,TR206R_0213,,,baseline_completion_key04_completion_20260330_111233,ok,True
SCIB Mouse Pancreas 1,Mouse_Pancreas_1_raw_counts,ComBat,ComBat,0.4624796595821326,0.5258893344386864,0.7558139534883721,0.8393828923960556,TR206R_0214,,,baseline_completion_key04_completion_20260330_111233,ok,True
